id;start_date;end_date;language
1;2020-02-06T14:13:19;2020-02-06T12:03:34;SPANISH
2;2020-02-05T19:03:30;2020-02-06T14:07:55;SPANISH
3;2020-02-06T09:58:49;2020-02-05T20:32:58;FRENCH
4;2020-02-06T01:16:20;2020-02-06T12:47:46;FRENCH
5;2020-02-06T10:46:38;2020-02-06T15:33:37;FRENCH
6;2020-02-06T04:38:59;2020-02-06T16:47:13;FRENCH
7;2020-02-06T06:24:19;2020-02-06T00:15:10;FRENCH
8;2020-02-06T05:20:32;2020-02-06T15:36:40;SPANISH
9;2020-02-06T04:01:41;2020-02-06T00:43:04;SPANISH
10;2020-02-06T12:13:45;2020-02-05T22:48:15;SPANISH
